"authorMeta.avatar","authorMeta.name","text","diggCount","shareCount","playCount","commentCount","collectCount","videoMeta.duration","musicMeta.musicName","musicMeta.musicAuthor","musicMeta.musicOriginal","createTimeISO","webVideoUrl"
"https://p16-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/4c1d0b8dbfc428aaa116e9292736fad2~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=7bb66899&x-expires=1764057600&x-signature=qqYXWTKVKam4mB5MYJYTkl53c2w%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8","tmconsultant.id","Bagi WPOP yang ingin menjadi PIC untuk akun coretax WP Badan, berikut langkahnya yaa Taxmates! 🙌🏻

#impersonating #coretax #pajak #wpbadan #konsultanpajak","36","16","2220","0","17","72","original sound - TM Consultant","TM Consultant","true","2025-11-12T08:33:00.000Z","https://www.tiktok.com/@tmconsultant.id/video/7571754073737792775"
"https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/ca8cd5f8f72933fb1f6efed27b0149e7~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=76035abe&x-expires=1764057600&x-signature=FCfuZDiVKuzj00EutzKzbCp44EU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","mbakwan99","APA SAJA ISI NPWP / NIK FILE IMPOR PPH 21 
#PAJAK2025 #CORETAX2025 #NPWPCORETAX #NIKCORETAX #CORETAXSYSTEM #FILEXMLCORETAX #DJP #NITKUCORETAX #IMPORBUKTIPOTONG #CORETAX","2774","657","68500","83","2686","65","original sound - Mbakwan","Mbakwan","true","2025-01-30T14:12:44.000Z","https://www.tiktok.com/@mbakwan99/video/7465711269371268359"
"https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/3dd86c532afe5d874b23383c7ca39b24~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=dbe2ae8d&x-expires=1764057600&x-signature=llPsEGNm3YSqNbe4u25UmTmuptA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8","esindo.mt.official","Siapa yang siang ini ngalamin eror di coretax juga?☝🏻
#esindomt #relateable #coretax #eror #fyp ","105","6","4230","17","9","11","suara asli - Aliza Angel","Aliza Angel","true","2025-10-16T07:29:33.000Z","https://www.tiktok.com/@esindo.mt.official/video/7561718416436989191"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/422f8b1470ff0017be14b316a8132414~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=07496a87&x-expires=1764057600&x-signature=GY5da4XsO08HNy3OSaT%2Ft92xpFk%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva","nyototutorialyt","Cara Membuat NPWP ONLINE Terbaru 2025 | NPWP PERORANGAN | Cara Daftar CORETAX
#npwponline  #coretax #nyototutorial ","44100","13000","1500000","7062","19200","591","suara asli - Nyoto Tutorial","Nyoto Tutorial","true","2025-01-11T11:12:42.000Z","https://www.tiktok.com/@nyototutorialyt/video/7458614237527641349"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6eafba84e3800fe37d19654d15383f37~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=d30dc3ef&x-expires=1764057600&x-signature=rIGbMx1%2B8t8QfN426Bg2QiVCU34%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva","legal.menjadipengaruh","2025 Bayar Pajak Pakai Coretax! 🤔

Bagaimana dengan sistem yang selama ini sudah digunakan, ya? Tulis pendapatmu di komen! 🤓
------------------------------
MENJADI PENGARUH
Jasa Pengurusan Legalitas
------------------------------
#coretax #coretaxsystem #coretax2025 #coretaxadalah #coretaxadministrationsystem #coretaxdjp #djponline #coretaxpajak ","7422","1571","587900","636","2718","61","suara asli - Legal Menjadi Pengaruh","Legal Menjadi Pengaruh","true","2025-01-11T09:38:19.000Z","https://www.tiktok.com/@legal.menjadipengaruh/video/7458589903929052421"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3307a5b769f5584ccfd63b0b452452f0~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=d0a96cc6&x-expires=1764057600&x-signature=dqmHcVT45E64fLWB4vMnXum5Ucc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva","miliardermudaindonesia","CORETAX APLIKASI INDONESIA HABISKAN 1,3 TRILIUN?! #semuabisaditiktok #miliardermudaindonesia #serunyabelajar ","26500","1005","467600","1093","2055","51","original sound","Samuel Christ","true","2025-02-07T10:48:13.000Z","https://www.tiktok.com/@miliardermudaindonesia/video/7468627236439002373"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/a04d881ad323b345c1a399080f0ff2dd~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=bf38935c&x-expires=1764057600&x-signature=iOKGpeGbx7uF%2FgSEEGLnnmRIEn8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva","raymondchins","what the f*ck coretax, mau bayar pajak aja susah. Ini menurut gw bukan soal kesalahan sistem, dan kebuang duit 1.2, tapi permasalahan di komunikasi dan transparansi.

#raymondchin #coretax #transapransi #komunikasi #pajak #perpajakan #tax ","117500","4939","1600000","2175","7347","49","original sound - Raymond Chin","Raymond Chin","true","2025-02-13T07:47:51.000Z","https://www.tiktok.com/@raymondchins/video/7470807249930226999"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/d2a2dbfab0d8a7e48d6e003e81ca2968~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=403b8e8f&x-expires=1764057600&x-signature=cHsnouZHKGXRSI4hERBD%2B1gX%2BFk%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva","inilahcom","Salah satu kantor pajak di bawah Ditjen Pajak, yaitu KPP Pratama Ende di Nusa Tenggara Timur, merilis video sosialisasi tentang aktivasi akun Coretax.

Video itu menampilkan tiga pegawai yang bernyanyi dan menari dengan gerakan yang mirip dengan “Tepuk Sakinah” dari KUA yang sebelumnya viral.

Karena kemiripan tersebut, warganet kemudian menjulukinya sebagai “Tepuk Coretax”.
-

Selengkapnya kunjungi website dengan klik link di bio atau download aplikasi di AppStore dan Google Play Store.

#inilahNews #DitjenPajakRI #Coretax #Inilahcom #titiktengah #titikcerah","82400","27900","4200000","4293","5963","38","original sound - Inilah.com","Inilah.com","true","2025-10-06T04:19:24.000Z","https://www.tiktok.com/@inilahcom/video/7557958553273748743"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7c062a2b7930b2509c804732a1bb93d6~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=d71ebb5c&x-expires=1764057600&x-signature=2650Ksa2qwzWFH%2BJnRMUc8q9bMc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva","pajakcurup","Optimalkan Layanan Pajak Anda dengan Aktivasi Akun Coretax.

#KawanPajak, segera lakukan aktivasi akun melalui coretaxdip.pajak.go.id untuk menikmati kemudahan dalam pengelolaan administrasi perpajakan.
Langkah ini merupakan bagian dari upaya modernisasi sistem perpajakan Indonesia, guna menciptakan layanan yang lebih efisien, transparan, dan terintegrasi.

Aktivasi Akun Coretax, Urusan Pajak Makin relax!","1360","920","77100","276","1359","58","Positive Education","makesound","false","2025-10-21T09:00:10.000Z","https://www.tiktok.com/@pajakcurup/video/7563597199632796949"
"https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/e561c2ca6df870eb0bc2f62f3636805c~tplv-tiktokx-cropcenter:720:720.jpeg?dr=14579&refresh_token=b7d2985c&x-expires=1764057600&x-signature=nkHSDZKwLvMjxvOYvUaqNv%2BH%2FNI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=maliva","tempo.co","Pemerintah mulai menerapkan Sistem Inti Administrasi Perpajakan atau Coretax DJP secara resmi pada 1 Januari 2025. Apa itu coretax?

#ohgitutempo #longervideos #longervideosontiktok #coretax #coretaxsystem #pajak #djp #ditjenpajak #ditjenpajakri #tempodotco #tempomedia #berita #fypindonesia #fyp #tiktokberita","16600","1624","748200","433","4042","116","original sound - Tempo.co","Tempo.co","true","2025-01-20T13:00:00.000Z","https://www.tiktok.com/@tempo.co/video/7461568803072216327"
